AVERAGE
711288.5
713313
717676.5
715745
706101.5
693501
698592
692554.5
693292.5
698624.5
706324.5
754651.5
779075
805070
798888.5
789292.5
778623.5
758929
767161
781558
764934.5
748321
735905.5
732200
724545.5
712400
719851.5
700114
702619
707182
710541
709328
706776.5
693046
688008
699022
692407.5
696898
705425
717252.5
751605
781011.5
789642.5
799786
808715.5
838925
851689.5
875516.5
886950
891978.5
895283
874362
883148.5
892925
891051.5
883622.5
836080.5
823457
833887
839066.5
830475
800874.5
775621.5
731520
713709
704352
703916.5
704236.5
713712
725834.5
740287.5
733602
729550
720835
724861.5
726031
714294
712728
698616
679374.5
668311.5
664006.5
673187
680527.5
665269
665222
694443
702346
742197
742759
733538
737462.5
723136.5
724308
726317.5
716995
724842
740216
781120.5
773350
838017
841230.5
838498
828780.5
826066
838017
839934
827670
821111.5
821831.5
812145
805616.5
800358.5
818954.5
829771
832693.5
846739.5
887179
916897
931816.5
924953
907207
911489.5
915960
944046.5
970466.5
968315
946627
953880.5
985129.5
520439
1014765.5
1015254.5
1040918.5
1057790.5
1064790
1037234.5
1032149.5
1005119
1008983
1022039
1024384
1012073.5
1002724
1015900
1022231.5
1016289
967607
957023
932806
917039.5
874982
860873.5
870399.5
875824
872851
851482.5
802175
787999
728434.5
744993
748303
750933.5
730665.5
722857.5
748844.5
760862.5
763158
714401.5
723549
747905
779601.5
815601.5
854624.5
862132
870295
913394
908604
915115
933960.5
937547.5
919988.5
829295.5
803779
852695
846902.5
891734.5
920390.5
1001084
989402
968007
966087.5
1000506
1057372
1107820
1178023
1207160.5
1193052
1175249.5
1142089
1151323
1185938
1127790.5
1073994.5
1083917
1085970
1115790
1156001
1200094
1228379.5
1173058
1178586
1114975.5
1066344
1005216
969605.5
943085
919575.5
930657
945572.5
917641.5
866437
792984.5
755331.5
835159
943239.5
936117.5
986643
1051543
1164330.5
1194953.5
1245958
1236599.5
1221012.5
1268264.5
1244103
1230814.5
1244368
1297551
1378668
1409249
1379821
1303493.5
1331483.5
1534237.5
1651423.5
1725287.5
1680228.5
1700982
987346
1822511
1879258.5
1888254
2034884.5
1947034
1902026.5
1758689.5
1607367
1582417.5
1585371
1600998
1600559.5
1739273
1767176
1761711
1697953
1646173
1706535.5
1577729
1626923.5
1937158
1121198.5
2155902
2134334
2130069.5
2082607
1963778.5
1924975
1988662
1978645
1764432.5
1711948
