"日付け","終値","始値","高値","安値","出来高","前日比%"
"2018年01月29日","1,226,618","1,247,777","1,290,003","1,201,913","0.11K","-1.70%"
"2018年01月28日","1,247,777","1,249,673","1,288,641","1,184,558","0.05K","-0.15%"
"2018年01月27日","1,249,673","1,220,742","1,282,877","1,159,148","0.06K","2.37%"
"2018年01月26日","1,220,742","1,278,040","1,381,261","1,155,268","0.23K","-3.30%"
"2018年01月25日","1,262,344","1,266,867","1,297,564","1,190,642","0.05K","-0.36%"
"2018年01月24日","1,266,867","1,225,957","1,294,197","1,167,432","0.16K","3.34%"
"2018年01月23日","1,225,957","1,209,404","1,366,132","1,122,604","0.18K","1.37%"
"2018年01月22日","1,209,404","1,279,903","1,466,934","1,128,168","0.33K","-5.51%"
"2018年01月21日","1,279,903","1,492,052","1,502,502","1,254,834","0.11K","-14.22%"
"2018年01月20日","1,492,052","1,363,564","1,551,343","1,267,155","0.12K","9.42%"
"2018年01月19日","1,363,564","1,369,012","1,498,138","1,261,504","0.37K","-0.40%"
"2018年01月18日","1,369,012","1,324,203","1,551,498","1,055,489","0.27K","3.38%"
"2018年01月17日","1,324,203","1,355,490","1,612,900","1,050,067","0.47K","-2.31%"
"2018年01月16日","1,355,490","1,749,947","1,812,176","1,256,299","0.52K","-22.04%"
"2018年01月15日","1,738,655","1,690,763","1,807,408","1,495,439","0.17K","2.83%"
"2018年01月14日","1,690,763","1,750,678","1,818,284","1,632,291","0.04K","-3.42%"
"2018年01月13日","1,750,678","1,763,028","1,834,002","1,526,455","0.08K","-0.70%"
"2018年01月12日","1,763,028","1,707,610","1,876,852","1,525,112","0.13K","3.25%"
"2018年01月11日","1,707,610","1,834,312","1,974,692","0","0.13K","-6.91%"
"2018年01月10日","1,834,312","1,845,553","1,974,692","1,670,330","0.10K","-0.61%"
"2018年01月09日","1,845,553","1,883,626","2,044,610","1,713,907","0.09K","-2.02%"
"2018年01月08日","1,883,626","1,931,984","2,058,196","1,718,312","0.14K","-2.50%"
"2018年01月07日","1,931,984","2,094,931","2,139,625","1,930,144","0.04K","-5.63%"
"2018年01月06日","2,047,219","1,979,221","2,154,207","1,739,861","0.05K","12.51%"
"2018年01月05日","1,819,531","1,788,935","2,099,139","1,704,914","0.04K","1.71%"
"2018年01月04日","1,788,935","1,750,245","1,869,091","1,648,288","0.14K","2.21%"
"2018年01月03日","1,750,245","1,665,757","1,750,649","1,464,085","0.16K","5.07%"
"2018年01月02日","1,665,757","1,587,760","1,701,801","1,463,034","0.12K","4.91%"
"2018年01月01日","1,587,760","1,656,187","1,694,063","1,476,679","0.05K","-4.13%"
"2017年12月31日","1,656,187","1,576,459","1,802,971","1,399,025","0.04K","11.93%"
"2017年12月30日","1,479,672","1,721,602","1,802,497","1,398,622","0.13K","-14.05%"
"2017年12月29日","1,721,602","1,668,876","1,849,059","1,629,487","0.07K","3.16%"
"2017年12月28日","1,668,876","1,841,033","1,912,085","1,622,267","0.08K","-9.35%"
"2017年12月27日","1,841,033","1,800,062","1,914,526","1,608,896","0.10K","-0.41%"
"2017年12月26日","1,848,630","1,550,994","1,848,630","1,547,276","0.06K","19.19%"
"2017年12月25日","1,550,994","1,780,591","1,780,591","1,511,755","0.03K","-6.96%"
"2017年12月24日","1,667,016","1,778,569","1,901,316","1,511,755","0.06K","-6.27%"
"2017年12月23日","1,778,569","1,593,787","1,901,316","1,254,142","0.08K","11.59%"
"2017年12月22日","1,593,787","1,830,241","1,993,563","1,260,284","0.39K","-12.92%"
"2017年12月21日","1,830,241","1,875,889","2,105,416","1,768,900","0.16K","-2.43%"
"2017年12月20日","1,875,889","2,022,145","2,242,397","0","0.17K","-7.23%"
"2017年12月19日","2,022,145","2,126,783","2,315,512","1,996,292","0.17K","-4.92%"
"2017年12月18日","2,126,783","2,214,558","2,262,222","2,006,446","0.09K","-3.96%"
"2017年12月17日","2,214,558","2,052,465","2,262,287","1,997,852","0.06K","0.24%"
"2017年12月16日","2,209,283","1,989,046","2,217,505","1,947,709","0.05K","11.07%"
"2017年12月15日","1,989,046","1,942,726","2,131,322","1,796,235","0.09K","4.95%"
"2017年12月14日","1,895,237","1,941,908","2,018,950","1,831,000","0.00K","-2.40%"
"2017年12月13日","1,941,908","1,983,781","2,130,096","1,847,228","0.09K","0.46%"
"2017年12月12日","1,933,007","1,905,039","2,140,086","1,817,204","0.01K","1.47%"
"2017年12月11日","1,905,039","1,818,393","1,972,393","1,556,472","0.12K","4.76%"
"2017年12月10日","1,818,393","1,673,591","1,868,058","1,555,838","0.07K","8.65%"
"2017年12月09日","1,673,591","1,820,944","1,959,641","1,516,033","0.08K","-8.09%"
"2017年12月08日","1,820,944","1,754,376","1,977,980","1,516,033","0.18K","15.24%"
"2017年12月07日","1,580,145","1,365,653","1,870,080","1,337,650","0.13K","7.41%"
"2017年12月06日","1,471,159","1,225,148","1,531,442","1,225,148","0.16K","20.08%"
"2017年12月05日","1,225,148","1,299,437","1,439,675","1,225,148","0.08K","-5.72%"
"2017年12月04日","1,299,437","1,264,456","1,326,766","1,196,299","0.12K","2.77%"
"2017年12月03日","1,264,456","1,231,138","1,399,319","1,201,728","0.13K","2.52%"
"2017年12月02日","1,233,381","1,234,384","1,278,231","1,084,108","0.07K","-0.08%"
"2017年12月01日","1,234,384","1,153,536","1,354,617","1,018,747","0.13K","7.01%"
"2017年11月30日","1,153,536","1,117,038","1,835,626","1,016,418","0.22K","3.27%"
"2017年11月29日","1,117,038","1,138,710","2,570,511","1,058,304","0.24K","-1.90%"
"2017年11月28日","1,138,710","1,093,657","1,154,135","1,041,355","0.12K","4.12%"
"2017年11月27日","1,093,657","1,022,524","1,114,700","992,004","0.17K","4.30%"
"2017年11月26日","1,048,567","988,444","1,068,771","942,856","0.09K","6.08%"
"2017年11月25日","988,444","948,234","992,509","900,141","0.08K","4.24%"
"2017年11月24日","948,234","907,265","986,503","898,187","0.07K","2.46%"
"2017年11月23日","925,468","945,425","945,570","906,161","0.10K","-2.11%"
"2017年11月22日","945,425","921,410","952,313","898,173","0.05K","2.61%"
"2017年11月21日","921,410","923,098","944,850","900,330","0.12K","-0.18%"
"2017年11月20日","923,098","934,460","944,226","893,333","0.09K","4.58%"
"2017年11月19日","882,652","875,394","885,518","844,793","0.01K","0.83%"
"2017年11月18日","875,394","868,099","889,744","844,136","0.03K","0.84%"
"2017年11月17日","868,099","882,779","892,685","816,931","0.10K","-1.66%"
"2017年11月16日","882,779","845,315","883,367","788,609","0.18K","4.43%"
"2017年11月15日","845,315","801,679","847,555","770,153","0.10K","5.44%"
"2017年11月14日","801,679","791,935","830,950","662,666","0.05K","1.23%"
"2017年11月13日","791,935","714,078","828,713","665,116","0.22K","10.90%"
"2017年11月12日","714,078","785,832","858,565","713,734","0.09K","-9.13%"
"2017年11月11日","785,832","765,882","858,565","751,272","0.06K","2.60%"
"2017年11月10日","765,882","806,632","866,885","751,096","0.12K","-5.05%"
"2017年11月09日","806,632","866,073","890,715","806,285","0.09K","-6.86%"
"2017年11月08日","866,073","827,687","890,823","807,321","0.09K","4.64%"
"2017年11月07日","827,687","797,783","856,412","787,884","0.05K","3.75%"
"2017年11月06日","797,783","844,983","865,141","791,010","0.10K","-5.59%"
"2017年11月05日","844,983","861,002","865,634","818,642","0.05K","-1.86%"
"2017年11月04日","861,002","828,976","889,949","789,065","0.04K","3.86%"
"2017年11月03日","828,976","781,055","904,306","777,738","0.09K","2.86%"
"2017年11月02日","805,927","775,693","869,998","707,769","0.09K","3.90%"
"2017年11月01日","775,693","729,017","787,179","693,575","0.06K","6.40%"
"2017年10月31日","729,017","689,863","733,024","687,718","0.05K","5.68%"
"2017年10月30日","689,863","704,915","718,159","656,695","0.04K","-2.14%"
"2017年10月29日","704,915","663,574","711,090","653,967","0.05K","6.23%"
"2017年10月28日","663,574","662,773","681,126","652,498","0.01K","0.12%"
"2017年10月27日","662,773","672,772","692,997","652,498","0.03K","0.90%"
"2017年10月26日","656,882","661,909","692,724","617,153","0.01K","-0.76%"
"2017年10月25日","661,909","647,263","675,796","630,626","0.05K","2.26%"
"2017年10月24日","647,263","688,504","717,500","635,624","0.09K","-5.99%"
"2017年10月23日","688,504","674,718","699,988","657,828","0.06K","2.04%"
"2017年10月22日","674,718","683,720","705,573","666,582","0.03K","-1.32%"
"2017年10月21日","683,720","680,935","705,656","642,202","0.04K","0.41%"
"2017年10月20日","680,935","639,563","681,990","634,207","0.07K","6.47%"
"2017年10月19日","639,563","638,945","652,154","595,464","0.03K","0.10%"
"2017年10月18日","638,945","634,682","656,831","597,587","0.11K","0.67%"
