"日付け","終値","始値","高値","安値","出来高","前日比%"
"2017年05月16日","203,828","200,102","205,840","192,235","0.12K","1.86%"
"2017年05月15日","200,102","202,196","206,576","193,029","0.09K","-1.04%"
"2017年05月14日","202,196","201,502","206,651","191,048","0.05K","0.34%"
"2017年05月13日","201,502","197,841","212,825","191,048","0.07K","1.85%"
"2017年05月12日","197,841","210,125","231,569","195,996","0.12K","-5.85%"
"2017年05月11日","210,125","203,548","231,569","193,533","0.08K","3.23%"
"2017年05月10日","203,548","195,542","214,031","187,122","0.16K","4.09%"
"2017年05月09日","195,542","174,375","205,634","163,026","0.14K","12.14%"
"2017年05月08日","174,375","176,601","184,227","170,409","0.12K","-1.26%"
"2017年05月07日","176,601","175,887","180,363","169,492","0.05K","0.41%"
"2017年05月06日","175,887","172,305","182,751","169,992","0.06K","2.08%"
"2017年05月05日","172,305","180,000","213,063","161,878","0.05K","-4.28%"
"2017年05月04日","180,000","168,757","214,444","161,000","0.19K","6.66%"
"2017年05月03日","168,757","160,380","169,149","146,856","0.03K","5.22%"
"2017年05月02日","160,380","156,053","169,267","146,856","0.12K","2.77%"
"2017年05月01日","156,053","147,368","158,139","144,758","0.07K","5.89%"
"2017年04月30日","147,368","146,668","149,095","144,758","0.05K","0.48%"
"2017年04月29日","146,668","147,757","150,513","144,758","0.03K","-0.74%"
"2017年04月28日","147,757","148,531","150,747","142,747","0.03K","-0.52%"
"2017年04月27日","148,531","142,180","149,350","141,279","0.08K","4.47%"
"2017年04月26日","142,180","140,115","146,103","138,350","0.05K","1.47%"
"2017年04月25日","140,115","137,283","141,483","134,411","0.05K","2.06%"
"2017年04月24日","137,283","137,550","137,827","132,000","0.08K","-0.19%"
"2017年04月23日","137,550","134,945","137,867","131,235","0.02K","1.28%"
"2017年04月22日","135,813","135,277","137,121","131,308","0.06K","0.40%"
"2017年04月21日","135,277","135,649","137,475","130,671","0.02K","-0.27%"
"2017年04月20日","135,649","129,682","136,245","129,250","0.08K","4.60%"
"2017年04月19日","129,682","128,894","132,739","118,170","0.03K","-0.32%"
"2017年04月18日","130,098","132,146","143,019","118,170","0.08K","-1.55%"
"2017年04月17日","132,146","128,155","132,355","127,647","0.06K","3.11%"
"2017年04月16日","128,155","128,529","140,279","127,906","0.02K","-0.29%"
"2017年04月15日","128,529","131,878","140,031","128,510","0.01K","-2.54%"
"2017年04月14日","131,878","126,876","141,105","125,397","0.01K","3.94%"
"2017年04月13日","126,876","132,432","138,697","120,890","0.12K","-4.19%"
"2017年04月12日","132,432","132,584","135,094","130,271","0.02K","-0.11%"
"2017年04月11日","132,584","132,315","136,003","125,000","0.06K","0.20%"
"2017年04月10日","132,315","131,130","137,101","125,000","0.22K","0.90%"
"2017年04月09日","131,130","128,973","133,719","128,198","0.07K","1.67%"
"2017年04月08日","128,973","131,877","132,814","121,165","0.03K","-2.27%"
"2017年04月07日","131,974","130,836","132,751","121,165","0.07K","0.87%"
"2017年04月06日","130,836","122,931","131,273","122,352","0.08K","6.43%"
"2017年04月05日","122,931","125,909","129,622","122,086","0.04K","-2.37%"
"2017年04月04日","125,909","127,783","129,700","121,753","0.06K","-1.47%"
"2017年04月03日","127,783","121,269","129,853","119,369","0.21K","5.37%"
"2017年04月02日","121,269","120,274","122,304","119,129","0.04K","0.90%"
"2017年04月01日","120,185","120,420","125,000","114,646","0.06K","-0.20%"
"2017年03月31日","120,420","115,078","121,796","108,000","0.14K","4.64%"
"2017年03月30日","115,078","115,506","117,074","113,071","0.13K","-0.37%"
"2017年03月29日","115,506","114,658","118,518","112,336","0.09K","0.74%"
"2017年03月28日","114,658","118,017","127,059","107,633","0.04K","-2.85%"
"2017年03月27日","118,017","107,145","118,017","104,678","0.13K","10.15%"
"2017年03月26日","107,145","106,178","111,136","100,529","0.05K","0.91%"
"2017年03月25日","106,178","114,536","114,536","100,518","0.09K","-7.30%"
"2017年03月24日","114,536","114,611","118,784","106,326","0.09K","-0.07%"
"2017年03月23日","114,611","123,251","127,777","113,536","0.12K","-6.72%"
"2017年03月22日","122,865","124,226","127,946","112,372","0.03K","-1.10%"
"2017年03月21日","124,226","117,932","128,281","114,663","0.10K","5.34%"
"2017年03月20日","117,932","123,983","126,501","111,704","0.11K","-4.88%"
"2017年03月19日","123,983","118,881","137,684","111,591","0.03K","4.29%"
"2017年03月18日","118,881","127,732","137,955","113,341","0.05K","-6.93%"
"2017年03月17日","127,732","132,078","145,908","126,760","0.19K","-3.29%"
"2017年03月16日","132,078","142,555","145,996","132,051","0.08K","-7.35%"
"2017年03月15日","142,555","143,935","152,097","141,107","0.08K","-0.96%"
"2017年03月14日","143,935","141,174","146,139","139,659","0.04K","1.96%"
"2017年03月13日","141,174","139,310","146,424","133,511","0.10K","1.34%"
"2017年03月12日","139,310","134,522","141,149","133,116","0.02K","3.56%"
"2017年03月11日","134,522","126,281","149,242","123,985","0.07K","6.53%"
"2017年03月10日","126,281","144,758","149,029","122,193","0.15K","-12.76%"
"2017年03月09日","144,758","130,884","144,758","126,264","0.22K","10.60%"
"2017年03月08日","130,884","140,775","146,659","130,884","0.22K","-7.03%"
"2017年03月07日","140,775","148,097","148,334","138,723","0.09K","-4.94%"
"2017年03月06日","148,097","146,435","148,192","135,216","0.07K","4.18%"
"2017年03月05日","142,160","144,144","147,472","140,725","0.00K","-1.38%"
"2017年03月04日","144,144","146,572","147,902","135,758","0.04K","-1.66%"
"2017年03月03日","146,572","142,931","148,451","135,675","0.08K","2.55%"
"2017年03月02日","142,931","137,788","145,018","132,404","0.15K","3.73%"
"2017年03月01日","137,788","134,747","137,788","124,773","0.14K","2.26%"
"2017年02月28日","134,747","133,308","136,911","130,456","0.09K","1.08%"
"2017年02月27日","133,308","131,550","134,078","129,348","0.05K","1.34%"
"2017年02月26日","131,550","119,021","133,730","119,021","0.00K","10.53%"
"2017年02月25日","119,021","132,465","135,910","119,021","0.05K","-10.15%"
"2017年02月24日","132,465","129,842","137,981","120,000","0.26K","2.02%"
"2017年02月23日","129,842","126,921","130,999","120,000","0.09K","2.30%"
"2017年02月22日","126,921","126,710","127,846","116,391","0.06K","0.17%"
"2017年02月21日","126,710","122,236","127,029","117,384","0.11K","3.66%"
"2017年02月20日","122,236","119,953","122,236","117,557","0.06K","1.90%"
"2017年02月19日","119,953","119,237","120,600","117,740","0.01K","0.60%"
"2017年02月18日","119,237","119,621","120,386","116,870","0.01K","-0.32%"
"2017年02月17日","119,621","117,793","120,364","115,234","0.07K","1.55%"
"2017年02月16日","117,793","115,011","118,589","113,911","0.07K","2.42%"
"2017年02月15日","115,011","113,435","116,940","113,435","0.01K","1.39%"
"2017年02月14日","113,435","113,723","116,439","105,153","0.02K","-0.25%"
"2017年02月13日","113,723","114,136","118,554","110,554","0.05K","-0.36%"
"2017年02月12日","114,136","113,186","116,195","112,416","0.01K","0.84%"
"2017年02月11日","113,186","113,220","115,548","108,238","0.03K","-0.03%"
"2017年02月10日","113,220","113,402","122,519","108,226","0.07K","-0.16%"
"2017年02月09日","113,402","116,776","122,290","107,105","0.27K","-2.89%"
"2017年02月08日","116,776","118,068","121,771","114,123","0.06K","-1.09%"
"2017年02月07日","118,068","114,746","118,774","111,772","0.15K","2.89%"
"2017年02月06日","114,746","113,506","115,701","113,112","0.04K","1.09%"
"2017年02月05日","113,506","114,385","115,879","112,107","0.02K","-0.77%"
"2017年02月04日","114,385","114,659","115,351","111,859","0.05K","-0.24%"
"2017年02月03日","114,659","112,163","115,677","109,301","0.08K","2.23%"
"2017年02月02日","112,163","111,019","112,667","107,061","0.13K","1.03%"
"2017年02月01日","111,019","108,192","111,618","99,136","0.20K","2.61%"
"2017年01月31日","108,192","104,284","108,268","99,136","0.19K","3.75%"
"2017年01月30日","104,284","104,916","105,471","102,878","0.05K","-0.60%"
"2017年01月29日","104,916","105,252","106,315","104,718","0.00K","-0.32%"
"2017年01月28日","105,252","104,000","106,315","103,957","0.01K","1.20%"
"2017年01月27日","104,000","103,490","106,014","102,244","0.06K","0.49%"
"2017年01月26日","103,490","100,057","105,420","99,920","0.16K","3.43%"
"2017年01月25日","100,057","101,589","104,243","100,000","0.05K","-1.51%"
"2017年01月24日","101,589","103,728","104,698","100,952","0.10K","-2.06%"
"2017年01月23日","103,728","104,470","105,811","99,967","0.03K","-0.71%"
"2017年01月22日","104,470","105,004","106,564","95,296","0.05K","-0.51%"
"2017年01月21日","105,004","103,508","106,001","100,557","0.10K","1.45%"
"2017年01月20日","103,508","103,643","105,818","100,307","0.02K","-0.13%"
"2017年01月19日","103,643","99,016","105,316","98,331","0.05K","4.67%"
"2017年01月18日","99,016","102,392","105,363","93,754","0.24K","-3.30%"
"2017年01月17日","102,392","94,857","103,061","90,691","0.18K","7.94%"
"2017年01月16日","94,857","92,499","95,406","88,312","0.03K","2.55%"
"2017年01月15日","92,499","91,614","102,590","88,284","0.06K","0.97%"
"2017年01月14日","91,614","93,878","102,590","89,315","0.01K","-2.41%"
"2017年01月13日","93,878","93,497","94,444","88,273","0.10K","0.41%"
"2017年01月12日","93,497","88,836","105,975","87,043","0.13K","5.25%"
"2017年01月11日","88,836","105,266","106,858","88,645","0.15K","-15.61%"
"2017年01月10日","105,266","106,400","106,400","102,437","0.04K","-1.07%"
"2017年01月09日","106,400","110,455","110,746","101,983","0.11K","-3.67%"
"2017年01月08日","110,455","105,381","112,326","95,069","0.05K","4.81%"
"2017年01月07日","105,381","108,571","114,603","95,080","0.16K","-2.94%"
"2017年01月06日","108,571","112,744","137,394","98,672","0.13K","-3.70%"
"2017年01月05日","112,744","130,010","139,065","101,769","0.43K","-13.28%"
"2017年01月04日","130,010","115,396","130,167","114,740","0.22K","12.66%"
"2017年01月03日","115,396","116,707","121,367","114,291","0.12K","-1.12%"
"2017年01月02日","116,707","114,101","118,165","111,027","0.02K","2.28%"
"2017年01月01日","114,101","111,316","114,594","108,568","0.05K","2.50%"
"2016年12月31日","111,316","112,143","113,650","109,871","0.07K","-0.74%"
"2016年12月30日","112,143","113,740","114,678","108,771","0.02K","-1.40%"
"2016年12月29日","113,740","111,750","114,001","106,494","0.07K","1.78%"
"2016年12月28日","111,750","107,088","112,878","100,424","0.14K","4.35%"
"2016年12月27日","107,088","105,593","113,651","100,114","0.04K","1.42%"
"2016年12月26日","105,593","103,346","105,629","96,288","0.02K","2.17%"
"2016年12月25日","103,346","103,488","108,111","96,472","0.16K","-0.14%"
"2016年12月24日","103,488","104,410","108,121","100,550","0.09K","-0.88%"
"2016年12月23日","104,410","98,431","105,411","98,123","0.17K","6.07%"
"2016年12月22日","98,431","96,314","104,538","93,415","0.20K","2.20%"
"2016年12月21日","96,314","93,483","104,538","92,402","0.09K","3.03%"
"2016年12月20日","93,483","92,544","93,700","90,492","0.01K","1.02%"
"2016年12月19日","92,544","92,139","92,766","91,653","0.03K","0.44%"
"2016年12月18日","92,139","93,393","98,000","92,121","0.00K","-1.34%"
"2016年12月17日","93,393","92,445","93,761","90,878","0.07K","1.03%"
"2016年12月16日","92,445","92,228","98,000","90,094","0.11K","0.24%"
"2016年12月15日","92,228","90,959","98,000","90,092","0.08K","1.39%"
"2016年12月14日","90,959","89,402","97,367","88,368","0.09K","1.74%"
"2016年12月13日","89,402","89,207","97,472","87,456","0.09K","0.22%"
"2016年12月12日","89,207","89,011","90,003","87,440","0.08K","0.22%"
"2016年12月11日","89,011","88,421","89,244","87,666","0.04K","0.67%"
"2016年12月10日","88,421","88,914","89,591","86,855","0.03K","-0.66%"
"2016年12月09日","89,008","86,590","89,195","86,065","0.06K","2.79%"
"2016年12月08日","86,590","87,083","87,913","84,576","0.04K","-0.57%"
"2016年12月07日","87,083","87,262","88,031","84,584","0.11K","-0.20%"
"2016年12月06日","87,262","84,778","87,667","84,207","0.15K","2.93%"
"2016年12月05日","84,778","87,128","88,634","84,126","0.16K","-2.70%"
"2016年12月04日","87,128","86,317","87,216","85,083","0.01K","0.94%"
"2016年12月03日","86,317","87,216","93,917","84,875","0.01K","-1.03%"
"2016年12月02日","87,216","85,711","93,917","80,161","0.19K","1.76%"
"2016年12月01日","85,711","80,161","86,051","80,161","0.10K","6.92%"
"2016年11月30日","80,161","81,475","84,361","80,161","0.07K","-1.61%"
"2016年11月29日","81,475","81,477","83,061","80,161","0.05K","-0.00%"
"2016年11月28日","81,477","82,249","82,898","80,161","0.06K","-0.94%"
"2016年11月27日","82,249","82,425","83,192","81,684","0.00K","-0.21%"
"2016年11月26日","82,425","82,873","83,445","82,148","0.03K","-0.54%"
"2016年11月25日","82,873","82,960","84,252","80,161","0.03K","-0.10%"
"2016年11月24日","82,960","81,664","84,036","81,620","0.03K","1.59%"
"2016年11月23日","81,664","82,584","83,801","79,491","0.14K","-1.11%"
"2016年11月22日","82,584","81,192","83,129","78,639","0.08K","1.71%"
"2016年11月21日","81,192","79,437","81,797","79,119","0.06K","2.21%"
"2016年11月20日","79,437","82,878","82,878","78,203","0.03K","-4.15%"
"2016年11月19日","82,878","82,791","82,977","80,400","0.06K","0.10%"
"2016年11月18日","82,791","80,039","82,878","78,011","0.13K","3.44%"
"2016年11月17日","80,039","78,894","81,456","76,800","0.13K","1.45%"
"2016年11月16日","78,894","77,887","81,001","76,555","0.16K","1.29%"
"2016年11月15日","77,887","75,497","77,938","75,309","0.06K","3.17%"
"2016年11月14日","75,497","75,261","77,074","73,860","0.06K","0.31%"
"2016年11月13日","75,261","76,024","77,489","73,431","0.09K","-1.00%"
"2016年11月12日","76,024","75,844","77,480","75,487","0.02K","0.24%"
"2016年11月11日","75,844","75,416","77,766","75,110","0.04K","0.57%"
"2016年11月10日","75,416","74,983","78,171","74,151","0.05K","0.58%"
"2016年11月09日","74,983","73,043","78,250","71,477","0.14K","0.27%"
"2016年11月08日","74,778","72,665","75,039","70,687","0.06K","2.91%"
"2016年11月07日","72,665","73,235","73,898","67,554","0.14K","-0.78%"
"2016年11月06日","73,235","72,379","73,731","68,000","0.05K","1.18%"
"2016年11月05日","72,379","72,427","73,934","70,399","0.02K","-0.07%"
"2016年11月04日","72,427","76,000","76,913","68,000","0.16K","-4.70%"
"2016年11月03日","76,000","76,089","77,487","71,121","0.18K","-0.12%"
"2016年11月02日","76,089","70,473","76,089","70,045","0.15K","7.97%"
"2016年11月01日","70,473","72,099","75,539","70,440","0.14K","-2.26%"
"2016年10月31日","72,099","75,624","76,052","70,835","0.06K","-4.66%"
"2016年10月30日","75,624","74,966","76,079","71,278","0.09K","0.88%"
"2016年10月29日","74,966","70,904","74,993","69,809","0.21K","5.73%"
"2016年10月28日","70,904","71,439","73,536","69,210","0.05K","-0.75%"
"2016年10月27日","71,439","69,829","71,895","67,687","0.14K","2.31%"
"2016年10月26日","69,829","67,668","70,012","63,632","0.07K","3.19%"
"2016年10月25日","67,668","66,643","68,836","66,611","0.09K","1.54%"
"2016年10月24日","66,643","67,504","67,758","65,610","0.10K","-1.27%"
"2016年10月23日","67,504","66,033","67,515","65,367","0.04K","2.23%"
"2016年10月22日","66,033","65,351","67,279","64,294","0.08K","1.04%"
"2016年10月21日","65,351","63,890","66,733","63,778","0.02K","2.29%"
"2016年10月20日","63,890","64,817","66,594","63,868","0.04K","-1.43%"
"2016年10月19日","64,817","65,962","69,355","64,032","0.10K","-1.73%"
"2016年10月18日","65,962","65,641","66,818","65,507","0.05K","0.49%"
"2016年10月17日","65,641","66,281","66,963","65,610","0.01K","-0.97%"
"2016年10月16日","66,281","65,711","68,000","65,691","0.01K","0.87%"
"2016年10月15日","65,711","65,591","68,000","61,621","0.03K","0.18%"
"2016年10月14日","65,591","64,110","66,607","61,621","0.09K","2.31%"
"2016年10月13日","64,110","64,826","66,041","63,935","0.11K","-1.11%"
"2016年10月12日","64,827","62,881","65,941","62,690","0.10K","3.09%"
"2016年10月11日","62,881","60,373","64,719","60,256","0.29K","4.15%"
"2016年10月10日","60,373","59,880","61,500","59,800","0.03K","0.82%"
"2016年10月09日","59,880","60,715","61,960","59,874","0.05K","-1.38%"
"2016年10月08日","60,715","62,467","62,742","59,562","0.08K","-2.80%"
"2016年10月07日","62,467","57,732","63,220","57,613","0.31K","8.20%"
"2016年10月06日","57,732","61,091","62,999","56,624","0.33K","-5.50%"
"2016年10月05日","61,091","57,448","62,460","57,385","0.12K","6.34%"
"2016年10月04日","57,448","61,022","62,274","57,425","0.24K","-5.86%"
"2016年10月03日","61,022","59,504","61,813","59,387","0.06K","2.55%"
"2016年10月02日","59,504","61,793","61,812","59,414","0.03K","-3.71%"
"2016年10月01日","61,793","59,446","62,054","59,446","0.02K","3.95%"
"2016年09月30日","59,446","61,253","61,875","59,158","0.12K","-2.95%"
"2016年09月29日","61,253","60,487","61,925","59,431","0.16K","1.27%"
"2016年09月28日","60,487","60,363","60,704","59,037","0.09K","0.21%"
"2016年09月27日","60,363","60,032","61,163","58,704","0.14K","0.55%"
"2016年09月26日","60,032","59,146","60,761","58,488","0.19K","1.50%"
"2016年09月25日","59,146","60,055","60,842","58,738","0.05K","-1.51%"
"2016年09月24日","60,055","59,037","60,598","58,578","0.11K","1.72%"
"2016年09月23日","59,037","58,661","62,266","58,396","0.10K","0.64%"
"2016年09月22日","58,661","58,518","62,166","58,096","0.17K","0.24%"
"2016年09月21日","58,518","59,834","62,111","58,172","0.21K","-2.20%"
"2016年09月20日","59,834","61,480","64,782","59,720","0.13K","-2.68%"
"2016年09月19日","61,480","60,500","62,508","59,065","0.14K","1.62%"
"2016年09月18日","60,500","62,119","62,183","60,045","0.02K","-2.61%"
"2016年09月17日","62,119","61,373","62,492","60,024","0.04K","1.22%"
"2016年09月16日","61,373","61,575","62,952","60,566","0.13K","-0.33%"
"2016年09月15日","61,575","62,867","63,483","60,698","0.05K","-2.06%"
"2016年09月14日","62,867","61,074","63,303","60,204","0.15K","2.94%"
"2016年09月13日","61,074","62,091","63,481","59,122","0.10K","-1.64%"
"2016年09月12日","62,091","60,276","63,206","59,029","0.23K","3.01%"
"2016年09月11日","60,276","62,087","63,465","60,238","0.08K","-2.92%"
"2016年09月10日","62,087","62,794","63,639","61,686","0.01K","-1.13%"
"2016年09月09日","62,794","63,413","65,640","61,602","0.19K","-1.67%"
"2016年09月08日","63,862","62,213","65,397","60,277","0.21K","2.65%"
"2016年09月07日","62,213","59,406","63,106","58,768","0.26K","4.73%"
"2016年09月06日","59,406","61,213","62,972","59,377","0.19K","-2.95%"
"2016年09月05日","61,213","61,354","62,899","59,912","0.15K","-0.23%"
"2016年09月04日","61,354","61,472","61,895","59,673","0.02K","-0.19%"
"2016年09月03日","61,472","59,584","61,607","57,829","0.12K","3.17%"
"2016年09月02日","59,584","57,695","59,837","55,174","0.05K","3.27%"
"2016年09月01日","57,695","57,494","59,703","57,442","0.03K","0.35%"
"2016年08月31日","57,494","58,318","59,664","57,330","0.18K","-1.41%"
"2016年08月30日","58,318","57,453","59,323","57,015","0.19K","-1.91%"
"2016年08月08日","59,452","59,229","59,468","56,388","0.03K","0.38%"
"2016年08月07日","59,229","56,609","59,423","55,525","0.03K","4.63%"
"2016年08月06日","56,609","55,979","58,512","55,323","0.08K","1.12%"
"2016年08月05日","55,979","58,002","58,002","54,090","0.07K","-3.49%"
"2016年08月04日","58,002","57,167","58,163","53,556","0.22K","4.46%"
"2016年08月03日","55,527","55,731","61,680","48,646","0.31K","-0.36%"
"2016年08月02日","55,731","61,963","64,234","48,675","0.23K","-10.06%"
"2016年08月01日","61,963","64,787","67,298","61,963","0.18K","-3.10%"
"2016年07月31日","63,947","66,686","67,195","63,936","0.10K","-4.11%"
"2016年07月30日","66,686","67,558","67,558","66,306","0.05K","-1.29%"
"2016年07月29日","67,558","67,975","68,314","66,638","0.06K","-1.63%"
"2016年07月27日","68,681","65,486","69,083","65,465","0.20K","4.88%"
"2016年07月26日","65,486","68,016","70,013","65,486","0.22K","-3.72%"
"2016年07月25日","68,016","70,478","70,478","68,016","0.07K","-3.49%"
"2016年07月24日","70,478","68,996","70,478","68,369","0.08K","2.15%"
"2016年07月23日","68,996","69,007","70,703","68,489","0.11K","-0.02%"
"2016年07月22日","69,007","70,099","70,835","69,005","0.16K","-1.56%"
"2016年07月21日","70,099","69,688","71,795","68,868","0.03K","0.59%"
"2016年07月20日","69,688","70,771","72,022","69,429","0.14K","-1.53%"
"2016年07月19日","70,771","71,746","72,065","69,558","0.06K","-1.36%"
"2016年07月18日","71,746","70,325","72,085","68,564","0.15K","2.03%"
"2016年07月17日","70,322","68,778","71,523","67,919","0.15K","2.24%"
"2016年07月16日","68,778","69,309","70,390","68,027","0.10K","-0.77%"
"2016年07月15日","69,309","68,954","70,890","67,439","0.10K","0.51%"
"2016年07月14日","68,954","67,183","70,656","65,697","0.04K","2.64%"
"2016年07月13日","67,183","69,049","70,481","64,493","0.18K","-2.70%"
"2016年07月12日","69,049","66,176","70,375","64,924","0.22K","4.34%"
"2016年07月11日","66,176","64,375","67,277","64,295","0.05K","2.80%"
"2016年07月10日","64,375","65,127","67,666","63,833","0.03K","-1.15%"
"2016年07月09日","65,127","68,062","68,062","63,848","0.02K","-4.31%"
"2016年07月08日","68,062","63,645","68,072","63,309","0.07K","6.94%"
"2016年07月07日","63,645","67,788","68,855","62,859","0.37K","-6.11%"
"2016年07月06日","67,788","67,339","70,421","66,157","0.17K","0.67%"
"2016年07月05日","67,339","69,840","69,920","66,491","0.05K","-3.58%"
"2016年07月04日","69,840","68,321","70,616","66,390","0.11K","2.22%"
"2016年07月03日","68,321","71,378","71,643","66,162","0.10K","-4.28%"
"2016年07月02日","71,378","69,174","71,385","66,665","0.03K","3.19%"
"2016年07月01日","69,174","67,141","69,656","64,711","0.15K","3.03%"
"2016年06月30日","67,141","65,214","69,698","63,896","0.21K","2.95%"
"2016年06月29日","65,214","66,643","72,565","63,436","0.17K","-2.14%"
"2016年06月28日","66,643","66,360","68,169","63,325","0.20K","0.43%"
"2016年06月27日","66,360","68,272","68,272","63,114","0.12K","-2.80%"
"2016年06月26日","68,272","68,272","68,272","68,272","0.00K","0.00%"
"2016年06月25日","68,272","68,559","68,559","68,272","0.00K","-0.42%"
"2016年06月24日","68,559","65,776","69,099","56,213","0.02K","4.23%"
"2016年06月23日","65,776","62,411","71,073","57,230","0.26K","5.39%"
"2016年06月22日","62,411","69,220","76,535","60,374","0.19K","-9.84%"
"2016年06月21日","69,220","78,986","79,985","67,700","0.42K","-12.36%"
"2016年06月20日","78,986","80,095","80,250","76,723","0.11K","-1.38%"
"2016年06月19日","80,095","79,019","81,073","76,164","0.02K","1.36%"
"2016年06月18日","79,019","78,685","81,725","75,304","0.11K","0.43%"
"2016年06月17日","78,685","80,723","81,068","74,158","0.26K","-2.53%"
"2016年06月16日","80,723","73,274","80,723","70,090","0.17K","10.17%"
"2016年06月15日","73,274","72,693","76,797","70,559","0.13K","0.80%"
"2016年06月14日","72,693","74,594","78,735","70,413","0.25K","-2.55%"
"2016年06月13日","74,594","70,052","76,735","64,164","0.29K","6.48%"
"2016年06月12日","70,052","64,940","72,986","60,200","0.27K","7.80%"
"2016年06月11日","64,984","61,991","65,806","60,904","0.11K","4.83%"
"2016年06月10日","61,991","60,553","62,425","60,037","0.05K","2.38%"
"2016年06月09日","60,553","60,678","62,687","59,827","0.07K","-0.21%"
"2016年06月08日","60,678","61,130","63,557","59,889","0.10K","-0.74%"
"2016年06月07日","61,130","62,134","64,740","59,943","0.18K","-1.62%"
"2016年06月06日","62,134","57,676","63,508","57,359","0.22K","7.73%"
"2016年06月05日","57,676","61,303","62,516","57,425","0.11K","-5.92%"
"2016年06月04日","61,303","58,548","62,516","56,489","0.19K","4.70%"
"2016年06月03日","58,548","56,772","61,237","55,846","0.14K","3.13%"
"2016年06月02日","56,772","58,216","60,791","55,417","0.26K","-2.48%"
"2016年06月01日","58,216","58,110","60,424","57,323","0.13K","0.18%"
"2016年05月31日","58,110","58,528","63,696","57,509","0.18K","-0.71%"
"2016年05月30日","58,528","58,258","63,688","50,800","0.25K","0.46%"
"2016年05月29日","58,258","53,765","61,355","47,679","0.41K","8.36%"
"2016年05月28日","53,765","50,764","54,497","47,642","0.22K","3.45%"
"2016年05月27日","51,970","45,964","53,885","44,493","0.54K","13.07%"
"2016年05月26日","45,964","46,296","49,642","44,366","0.21K","-0.72%"
"2016年05月25日","46,296","49,227","49,607","46,289","0.17K","-5.95%"
"2016年05月24日","49,227","48,016","49,227","46,973","0.06K","2.52%"
"2016年05月23日","48,016","48,047","48,366","45,951","0.20K","-0.06%"
"2016年05月22日","48,047","49,057","50,517","46,203","0.07K","-2.06%"
"2016年05月21日","49,057","47,767","49,057","47,762","0.03K","2.70%"
"2016年05月20日","47,767","47,965","50,056","47,227","0.06K","-0.41%"
"2016年05月19日","47,965","49,317","49,986","47,965","0.16K","-2.74%"
"2016年05月18日","49,317","49,110","50,019","48,660","0.07K","0.42%"
"2016年05月17日","49,110","49,160","50,171","48,656","0.05K","-0.10%"
"2016年05月16日","49,160","47,772","49,582","47,772","0.18K","2.91%"
"2016年05月15日","47,772","48,910","49,828","47,466","0.09K","-2.33%"
"2016年05月14日","48,910","49,449","49,453","48,054","0.04K","-1.09%"
"2016年05月13日","49,449","47,623","49,584","47,499","0.28K","3.83%"
"2016年05月12日","47,623","49,292","51,210","47,183","0.09K","-3.39%"
"2016年05月11日","49,292","49,830","51,721","47,268","0.08K","-1.08%"
"2016年05月10日","49,830","49,347","52,522","48,400","0.20K","0.98%"
"2016年05月09日","49,347","44,494","51,472","44,494","0.27K","10.91%"
"2016年05月08日","44,494","49,845","50,691","44,468","0.13K","-10.74%"
"2016年05月07日","49,845","49,192","51,219","46,188","0.10K","1.33%"
"2016年05月06日","49,192","48,137","49,632","47,405","0.16K","2.19%"
"2016年05月05日","48,137","47,824","49,651","46,393","0.46K","0.66%"
"2016年05月04日","47,824","47,504","49,179","46,180","0.12K","0.67%"
"2016年05月03日","47,504","47,159","49,261","45,423","0.10K","0.73%"
"2016年05月02日","47,159","47,618","49,339","45,671","0.13K","-0.96%"
"2016年05月01日","47,618","48,115","48,272","46,735","0.03K","-1.03%"
"2016年04月30日","48,115","48,099","48,676","46,116","0.00K","0.03%"
"2016年04月29日","48,099","48,604","50,675","46,397","0.19K","-1.04%"
"2016年04月28日","48,604","49,020","52,352","46,080","0.21K","-0.85%"
"2016年04月27日","49,020","51,683","52,229","48,235","0.30K","-5.15%"
"2016年04月26日","51,683","49,029","52,709","48,361","0.09K","5.41%"
"2016年04月25日","49,029","51,588","52,903","49,025","0.17K","-4.96%"
"2016年04月24日","51,588","49,804","51,588","49,293","0.26K","3.58%"
"2016年04月23日","49,804","49,895","50,361","48,283","0.15K","-0.18%"
"2016年04月22日","49,895","50,656","50,920","45,149","0.15K","-1.50%"
"2016年04月21日","50,656","47,402","50,670","45,399","0.49K","6.87%"
"2016年04月20日","47,402","46,691","49,470","45,854","0.27K","1.52%"
"2016年04月19日","46,691","46,450","48,495","46,084","0.05K","0.52%"
"2016年04月18日","46,450","46,279","48,396","45,340","0.12K","0.37%"
"2016年04月17日","46,279","46,874","48,109","46,180","0.05K","-1.27%"
"2016年04月16日","46,874","46,406","48,462","43,997","0.08K","1.01%"
"2016年04月15日","46,406","45,801","48,316","44,786","0.12K","1.32%"
"2016年04月14日","45,801","44,974","48,307","44,974","0.09K","1.84%"
"2016年04月13日","44,974","0","50,823","0","0.40K","0.00%"
"2016年04月12日","0","45,563","50,212","0","0.12K","-100.00%"
"2016年04月11日","45,563","45,522","49,541","45,020","0.21K","0.09%"
"2016年04月10日","45,522","45,113","50,314","44,751","0.18K","0.91%"
"2016年04月09日","45,113","45,534","48,198","44,645","0.25K","-0.92%"
"2016年04月08日","45,534","46,882","48,311","44,991","0.41K","-2.88%"
"2016年04月07日","46,882","46,856","48,776","45,262","0.55K","0.05%"
